"","ssvid","imo","shipname","n_shipname"
"435","590782299","0","AUDAZ","AUDAZ"
"436","265635970",NA,"CAMINA","CAMINA"
"437","304108000","9213708","MARLIN","MARLIN"
"438","244810320","0","MARLIN","MARLIN"
"439","244710731","0","TORNADO","TORNADO"
"440","345010014","7723649","INTREPIDO","INTREPIDO"
"441","273333290","7700192","TORNADO","TORNADO"
"442","725001536","9250323","ALERCE N","ALERCE"
"443","636014716","9453638","MARLIN      ,","MARLIN"
"444","247299900","0","INTREPIDO","INTREPIDO"
"445","725010191","0","MERO","MERO"
"446","273367690","8404575","TORNADO","TORNADO"
"447","636014716","9453638","MARLIN","MARLIN"
"448","338031604","0","TORNADO","TORNADO"
"449","244710731","0","TORNADO","TORNADO"
"450","677058600","8708517","INTREPIDO","INTREPIDO"
"451","725000197","8903753","HURACAN","HURACAN"
"452","244710731","0","TORNADO","TORNADO"
"453","238794240","0","MARLIN","MARLIN"
"454","211743070","0","MARLIN","MARLIN"
"455","338166819","0","MARLIN","MARLIN"
"456","725000027","0","AUDAZ","AUDAZ"
"457","725019301","0","ALBIMER","ALBIMER"
"458","256955490","0","TORNADO","TORNADO"
"459","211756280","0","MARLIN","MARLIN"
"460","227704450",NA,"GRINGO","GRINGO"
"461","273415310","8227680","MARLIN","MARLIN"
"462","273415310","8227680","MARLIN","MARLIN"
"463","345010014","7723649","INTREPIDO","INTREPIDO"
"464","244710731","0","TORNADO","TORNADO"
"465","770576299","0","BANDURRIA","BANDURRIA"
"466","247299900","0","INTREPIDO","INTREPIDO"
"467","375763000","9750115","HURACAN","HURACAN"
"468","725000030","0","RELAMPAGO","RELAMPAGO"
"469","636014716","9453638","MARLIN","MARLIN"
"470","273367690","8404575","TORNADO","TORNADO"
"471","205345890","2244608","TORNADO","TORNADO"
"472","244710731","0","TORNADO","TORNADO"
"473","770576191","0","HURACAN           ""","HURACAN"
"474","211756280","0","MARLIN","MARLIN"
"475","247120130","0","TORNADO","TORNADO"
"476","205242990","0","MARLIN","MARLIN"
"477","725000027","256","AUDAZ","AUDAZ"
"478","304108000","9213708","MARLIN","MARLIN"
"479","225920740","0","HALCON","HALCON"
"480","345990753","0","MARLIN","MARLIN"
"481","273415310","8227680","MARLIN","MARLIN"
"482","345040017","9223801","HALCON","HALCON"
"483","725001850","0","TORNADO","TORNADO"
"484","211743070","0","MARLIN","MARLIN"
"485","725001850","0","TORNADO","TORNADO"
"486","261005440","0","TORNADO","TORNADO"
"487","636014716","9453638","MARLIN     0","MARLIN"
"488","273415310","8227552","MARLIN","MARLIN"
"489","244710731","0","TORNADO","TORNADO"
"490","211348710",NA,"MARLIN","MARLIN"
"491","770576191","0","HURACAN","HURACAN"
"492","273356180","0","MARLIN","MARLIN"
"493","258260000","7042291","TORNADO","TORNADO"
"494","247299900","0","INTREPIDO","INTREPIDO"
"495","701006045","0","HURACAN","HURACAN"
"496","770576299","0","BANDURRIA         ""","BANDURRIA"
"497","701006150","7723845","TORNADO","TORNADO"
"498","725000027","0","AUDAZ","AUDAZ"
"499","244710731","0","TORNADO","TORNADO"
"500","636014716","9453638","MARLIN          ,","MARLIN"
"501","273415310","8227680","MARLIN","MARLIN"
"502","207261222","0","TORNADO","TORNADO"
"503","999999999","0","INTREPIDO","INTREPIDO"
"504","273415310","8226912","MARLIN","MARLIN"
"505","725000028","0","AVENTURERO","AVENTURERO"
"506","338031604","0","TORNADO","TORNADO"
"507","725000027","0","AUDAZ","AUDAZ"
"508","273415630","8227680","MARLIN","MARLIN"
"509","538006236","9183628","MARLIN","MARLIN"
"510","770576191","0","HURACAN","HURACAN"
"511","273367690","8404575","TORNADO      ""","TORNADO"
"512","227913780",NA,"GRINGO","GRINGO"
