"","LatBin","LonBin","FishingHours"
"499",-19.51,-72.11,0.133333333333333
"500",-19.5,-72.11,0.266666666666666
"501",-19.48,-72.11,0
"502",-19.46,-72.11,0.266666666666666
"503",-19.44,-72.11,0
"504",-19.43,-72.11,1.06666666666666
"505",-19.28,-72.11,0
"506",-19.24,-72.11,0
"507",-19.69,-72.1,0
"508",-19.64,-72.1,0
"509",-19.62,-72.1,0
"510",-19.61,-72.1,0
"511",-19.56,-72.1,0
"512",-19.55,-72.1,0
"513",-19.54,-72.1,0
"514",-19.53,-72.1,0
"515",-19.51,-72.1,0.533333333333332
"516",-19.5,-72.1,0.266666666666666
"517",-19.49,-72.1,0.266666666666666
"518",-19.48,-72.1,0
"519",-19.46,-72.1,0.133333333333333
"520",-19.45,-72.1,0.133333333333333
"521",-19.44,-72.1,0.133333333333333
"522",-19.43,-72.1,0
"523",-19.18,-72.1,0
"524",-19.14,-72.1,0
"525",-19.8,-72.09,0
"526",-19.72,-72.09,0
"527",-19.58,-72.09,0
"528",-19.57,-72.09,0
"529",-19.52,-72.09,0.266666666666666
"530",-19.51,-72.09,0.133333333333333
"531",-19.5,-72.09,0
"532",-19.49,-72.09,0.399999999999999
"533",-19.47,-72.09,0.133333333333333
"534",-19.46,-72.09,0.133333333333333
"535",-19.33,-72.09,0
"536",-19.24,-72.09,0
"537",-19.2,-72.09,0
"538",-19.81,-72.08,0
"539",-19.74,-72.08,0
"540",-19.71,-72.08,0
"541",-19.64,-72.08,0
"542",-19.63,-72.08,0
"543",-19.59,-72.08,0
"544",-19.57,-72.08,0
"545",-19.53,-72.08,0
"546",-19.52,-72.08,0
"547",-19.51,-72.08,0.399999999999999
"548",-19.5,-72.08,0.666666666666665
"549",-19.49,-72.08,0.133333333333333
"550",-19.48,-72.08,0
"551",-19.47,-72.08,0
"552",-19.46,-72.08,0
"553",-19.43,-72.08,0
"554",-19.27,-72.08,0
"555",-19.17,-72.08,0
"556",-19.61,-72.07,0
"557",-19.6,-72.07,0
"558",-19.52,-72.07,0.533333333333332
"559",-19.51,-72.07,0.666666666666665
"560",-19.5,-72.07,0.133333333333333
"561",-19.48,-72.07,0
"562",-19.43,-72.07,0
"563",-19.38,-72.07,0
"564",-19.36,-72.07,0
"565",-19.13,-72.07,0
"566",-19.83,-72.06,0
"567",-19.77,-72.06,0
"568",-19.73,-72.06,0
"569",-19.66,-72.06,0
"570",-19.65,-72.06,0
"571",-19.63,-72.06,0
"572",-19.53,-72.06,0.133333333333333
"573",-19.52,-72.06,0.133333333333333
"574",-19.51,-72.06,0.266666666666666
"575",-19.5,-72.06,0.133333333333333
"576",-19.49,-72.06,0
"577",-19.47,-72.06,0
"578",-19.44,-72.06,0
"579",-19.4,-72.06,0
"580",-19.24,-72.06,0
"581",-19.2,-72.06,0
"582",-19.17,-72.06,0
"583",-20.06,-72.05,0
"584",-19.78,-72.05,0
"585",-19.7,-72.05,0
"586",-19.68,-72.05,0
"587",-19.61,-72.05,0
"588",-19.57,-72.05,0
"589",-19.54,-72.05,0.133333333333333
"590",-19.53,-72.05,1.99999999999999
"591",-19.52,-72.05,0.266666666666666
"592",-19.51,-72.05,0.266666666666666
"593",-19.5,-72.05,0
"594",-19.49,-72.05,0
"595",-19.47,-72.05,0.133333333333333
"596",-19.46,-72.05,0.133333333333333
"597",-19.43,-72.05,0
"598",-19.34,-72.05,0
"599",-19.27,-72.05,0
"600",-19.17,-72.05,0
"601",-19.86,-72.04,0
"602",-19.85,-72.04,0
"603",-19.76,-72.04,0
"604",-19.68,-72.04,0
"605",-19.67,-72.04,0
"606",-19.63,-72.04,0
"607",-19.55,-72.04,0
"608",-19.54,-72.04,0.266666666666666
"609",-19.53,-72.04,0
"610",-19.52,-72.04,0
"611",-19.51,-72.04,0
"612",-19.48,-72.04,0
"613",-19.8,-72.03,0
"614",-19.78,-72.03,0
"615",-19.71,-72.03,0
"616",-19.7,-72.03,0
"617",-19.57,-72.03,0
"618",-19.55,-72.03,0
"619",-19.54,-72.03,0.133333333333333
"620",-19.53,-72.03,0.133333333333333
"621",-19.5,-72.03,0
"622",-19.47,-72.03,0
"623",-19.24,-72.03,0
"624",-19.19,-72.03,0
"625",-19.16,-72.03,0
"626",-19.88,-72.02,0
"627",-19.87,-72.02,0
"628",-19.71,-72.02,0
"629",-19.69,-72.02,0
"630",-19.64,-72.02,0
"631",-19.63,-72.02,0
"632",-19.61,-72.02,0
"633",-19.6,-72.02,0
"634",-19.58,-72.02,0
"635",-19.57,-72.02,0
"636",-19.56,-72.02,0
"637",-19.54,-72.02,0
"638",-19.53,-72.02,0
"639",-19.33,-72.02,0
"640",-19.27,-72.02,0
"641",-19.16,-72.02,0
"642",-19.82,-72.01,0
"643",-19.8,-72.01,0
"644",-19.72,-72.01,0
"645",-19.67,-72.01,0
"646",-19.59,-72.01,0
"647",-19.57,-72.01,0
"648",-19.56,-72.01,0
"649",-19.52,-72.01,0
"650",-19.51,-72.01,0
"651",-19.47,-72.01,0
"652",-19.24,-72.01,0
"653",-19.19,-72.01,0
"654",-19.9,-72,0
"655",-19.84,-72,0
"656",-19.72,-72,0
"657",-19.71,-72,0
"658",-19.67,-72,0.533333333333332
"659",-19.66,-72,0
"660",-19.61,-72,0
"661",-19.59,-72,0
"662",-19.57,-72,0
"663",-19.54,-72,0
"664",-19.46,-72,0
"665",-19.16,-72,0
"666",-20.52,-71.99,0
"667",-20.5,-71.99,0
"668",-20.48,-71.99,0
"669",-19.82,-71.99,0
"670",-19.76,-71.99,0
"671",-19.74,-71.99,0
"672",-19.73,-71.99,0
"673",-19.72,-71.99,0
"674",-19.7,-71.99,0
"675",-19.68,-71.99,0
"676",-19.67,-71.99,0
"677",-19.66,-71.99,0
"678",-19.65,-71.99,0
"679",-19.64,-71.99,0
"680",-19.63,-71.99,0
"681",-19.52,-71.99,0
"682",-19.33,-71.99,0
"683",-19.27,-71.99,0
"684",-19.16,-71.99,0
"685",-20.55,-71.98,0
"686",-20.45,-71.98,0
"687",-19.93,-71.98,0
"688",-19.92,-71.98,0
"689",-19.87,-71.98,0
"690",-19.78,-71.98,0
"691",-19.77,-71.98,0
"692",-19.75,-71.98,0
"693",-19.72,-71.98,0
