"","LatBin","LonBin","fishing_hours_sq_km","Log_fishing_hours_sq_km"
"460",-19.75,-72.13,0,-Inf
"461",-19.68,-72.13,0,-Inf
"462",-19.64,-72.13,0,-Inf
"463",-19.58,-72.13,0,-Inf
"464",-19.57,-72.13,0,-Inf
"465",-19.56,-72.13,0.689062786664571,-0.161741203840398
"466",-19.55,-72.13,0.114836678375878,-0.939919377860396
"467",-19.54,-72.13,0,-Inf
"468",-19.53,-72.13,0,-Inf
"469",-19.52,-72.13,0,-Inf
"470",-19.5,-72.13,0,-Inf
"471",-19.48,-72.13,0,-Inf
"472",-19.47,-72.13,0.229559761501314,-0.639104235130503
"473",-19.46,-72.13,0.459091202908956,-0.338101029091312
"474",-19.18,-72.13,0,-Inf
"475",-19.62,-72.12,0,-Inf
"476",-19.6,-72.12,0,-Inf
"477",-19.55,-72.12,0.114836678375878,-0.939919377860396
"478",-19.53,-72.12,0,-Inf
"479",-19.52,-72.12,0,-Inf
"480",-19.51,-72.12,0.229616489120998,-0.638996927784828
"481",-19.5,-72.12,1.49241491162569,0.173889579690957
"482",-19.49,-72.12,0.229588107819722,-0.639050611230644
"483",-19.48,-72.12,0.114786965144451,-0.940107426286879
"484",-19.47,-72.12,0.344339642251972,-0.463012976074821
"485",-19.46,-72.12,0.459091202908956,-0.338101029091312
"486",-19.45,-72.12,0.114765725072956,-0.940187795163089
"487",-19.44,-72.12,0.11475865378657,-0.940214555027759
"488",-19.2,-72.12,0,-Inf
"489",-19.18,-72.12,0,-Inf
"490",-19.15,-72.12,0,-Inf
"491",-19.78,-72.11,0,-Inf
"492",-19.77,-72.11,0,-Inf
"493",-19.7,-72.11,0,-Inf
"494",-19.66,-72.11,0,-Inf
"495",-19.57,-72.11,0,-Inf
"496",-19.55,-72.11,0,-Inf
"497",-19.53,-72.11,0,-Inf
"498",-19.52,-72.11,0,-Inf
"499",-19.51,-72.11,0.114808244560499,-0.940026923448809
"500",-19.5,-72.11,0.229602294096258,-0.639023776951902
"501",-19.48,-72.11,0,-Inf
"502",-19.46,-72.11,0.229545601454478,-0.639131024755293
"503",-19.44,-72.11,0,-Inf
"504",-19.43,-72.11,0.918012694934731,-0.0371513130231797
"505",-19.28,-72.11,0,-Inf
"506",-19.24,-72.11,0,-Inf
"507",-19.69,-72.1,0,-Inf
"508",-19.64,-72.1,0,-Inf
"509",-19.62,-72.1,0,-Inf
"510",-19.61,-72.1,0,-Inf
"511",-19.56,-72.1,0,-Inf
"512",-19.55,-72.1,0,-Inf
"513",-19.54,-72.1,0,-Inf
"514",-19.53,-72.1,0,-Inf
"515",-19.51,-72.1,0.459232978241996,-0.337966932120847
"516",-19.5,-72.1,0.229602294096259,-0.6390237769519
"517",-19.49,-72.1,0.229588107819722,-0.639050611230644
"518",-19.48,-72.1,0,-Inf
"519",-19.46,-72.1,0.114772800727239,-0.940161020419274
"520",-19.45,-72.1,0.114765725072956,-0.940187795163089
"521",-19.44,-72.1,0.11475865378657,-0.940214555027759
"522",-19.43,-72.1,0,-Inf
"523",-19.18,-72.1,0,-Inf
"524",-19.14,-72.1,0,-Inf
"525",-19.8,-72.09,0,-Inf
"526",-19.72,-72.09,0,-Inf
"527",-19.58,-72.09,0,-Inf
"528",-19.57,-72.09,0,-Inf
"529",-19.52,-72.09,0.229630692896427,-0.638970063727586
"530",-19.51,-72.09,0.114808244560499,-0.940026923448809
"531",-19.5,-72.09,0,-Inf
"532",-19.49,-72.09,0.344382161729583,-0.462959352174963
"533",-19.47,-72.09,0.114779880750657,-0.940134230794484
"534",-19.46,-72.09,0.114772800727239,-0.940161020419274
"535",-19.33,-72.09,0,-Inf
"536",-19.24,-72.09,0,-Inf
"537",-19.2,-72.09,0,-Inf
"538",-19.81,-72.08,0,-Inf
"539",-19.74,-72.08,0,-Inf
"540",-19.71,-72.08,0,-Inf
"541",-19.64,-72.08,0,-Inf
"542",-19.63,-72.08,0,-Inf
"543",-19.59,-72.08,0,-Inf
"544",-19.57,-72.08,0,-Inf
"545",-19.53,-72.08,0,-Inf
"546",-19.52,-72.08,0,-Inf
"547",-19.51,-72.08,0.344424733681497,-0.462905668729147
"548",-19.5,-72.08,0.574005735240647,-0.241083768279863
"549",-19.49,-72.08,0.114794053909861,-0.940080606894625
"550",-19.48,-72.08,0,-Inf
"551",-19.47,-72.08,0,-Inf
"552",-19.46,-72.08,0,-Inf
"553",-19.43,-72.08,0,-Inf
"554",-19.27,-72.08,0,-Inf
"555",-19.17,-72.08,0,-Inf
"556",-19.61,-72.07,0,-Inf
"557",-19.6,-72.07,0,-Inf
"558",-19.52,-72.07,0.459261385792853,-0.337940068063606
"559",-19.51,-72.07,0.574041222802495,-0.241056919112791
"560",-19.5,-72.07,0.114801147048129,-0.940053772615883
"561",-19.48,-72.07,0,-Inf
"562",-19.43,-72.07,0,-Inf
"563",-19.38,-72.07,0,-Inf
"564",-19.36,-72.07,0,-Inf
"565",-19.13,-72.07,0,-Inf
"566",-19.83,-72.06,0,-Inf
"567",-19.77,-72.06,0,-Inf
"568",-19.73,-72.06,0,-Inf
"569",-19.66,-72.06,0,-Inf
"570",-19.65,-72.06,0,-Inf
"571",-19.63,-72.06,0,-Inf
"572",-19.53,-72.06,0.114822452712517,-0.939973180442316
"573",-19.52,-72.06,0.114815346448213,-0.940000059391569
"574",-19.51,-72.06,0.229616489120998,-0.638996927784828
"575",-19.5,-72.06,0.114801147048129,-0.940053772615883
"576",-19.49,-72.06,0,-Inf
"577",-19.47,-72.06,0,-Inf
"578",-19.44,-72.06,0,-Inf
"579",-19.4,-72.06,0,-Inf
"580",-19.24,-72.06,0,-Inf
"581",-19.2,-72.06,0,-Inf
"582",-19.17,-72.06,0,-Inf
"583",-20.06,-72.05,0,-Inf
"584",-19.78,-72.05,0,-Inf
"585",-19.7,-72.05,0,-Inf
"586",-19.68,-72.05,0,-Inf
"587",-19.61,-72.05,0,-Inf
"588",-19.57,-72.05,0,-Inf
"589",-19.54,-72.05,0.114829563354657,-0.939946286599204
"590",-19.53,-72.05,1.72233679068776,0.236118078613367
"591",-19.52,-72.05,0.229630692896426,-0.638970063727588
"592",-19.51,-72.05,0.229616489120998,-0.638996927784828
"593",-19.5,-72.05,0,-Inf
"594",-19.49,-72.05,0,-Inf
