field_1,n_shipname,lat_bin,lon_bin,fishing_hours,total_hours,fishing_hours_sq_km,total_hours_sq_km
"92893",DONERNESTOAYALAMARFIL,-19.63,-70.31,0,0.804444444444444,0,0.693192329933102
"93100",ICALMA,-19.62,-70.3,0,0.401944444444444,0,0.34633524840529
"93219",EPERVA62,-19.65,-70.31,0,0.649722222222222,0,0.559937448036678
"94296",EPERVA61,-19.62,-70.29,0,0.791666666666667,0,0.68213922457158
"94431",EPERVA62,-19.65,-70.27,0,0.435555555555556,0,0.375366361060928
"94447",EPERVA62,-19.62,-70.32,0,0.404722222222222,0,0.348728719368699
"94674",EPERVA64,-19.66,-70.29,0,0.4975,0,0.428777463079757
"94898",ATACAMAIV,-19.62,-70.27,0,0.133333333333333,0,0.114886606243635
"96397",ANGAMOS1,-19.65,-70.3,0,0.320833333333333,0,0.276497542745773
"96447",HALCON,-19.66,-70.28,0,0.349166666666667,0,0.30093426638261
"96574",ANGAMOS9,-19.61,-70.3,0,0.56,0,0.482493734242191
"97021",LOA2,-19.6,-70.28,0,0.266666666666667,0,0.229744638423821
"97029",LOA2,-19.62,-70.28,0,0.266666666666667,0,0.229773212487269
"97099",CLAUDIAALEJANDRA,-19.62,-70.29,0,0.266666666666667,0,0.229773212487269
"97101",CLAUDIAALEJANDRA,-19.65,-70.29,0,0.4,0,0.344724209137587
"97239",EPERVA65,-19.62,-70.29,0,0.0794444444444444,0,0.0684532695534989
"97429",BARRACUDAIV,-19.62,-70.31,0.120277777777778,1.31583333333333,0.103637292715612,1.13378719536687
"97431",BARRACUDAIV,-19.65,-70.29,0,0.03,0,0.025854315685319
"98179",ANGAMOS1,-19.61,-70.32,0,0.173611111111111,0,0.149582630903457
"98727",COLLEN,-19.66,-70.28,0,0.266666666666667,0,0.229830465972399
"98950",LOA1,-19.62,-70.26,0,0.133333333333333,0,0.114886606243635
"99052",HURACAN,-19.61,-70.32,0,0.854444444444444,0,0.736185876254454
"99259",CLAUDIAALEJANDRA,-19.65,-70.28,0,0.266666666666667,0,0.229816139425058
"99970",COLLEN,-19.61,-70.31,0,0.266666666666667,0,0.22975892106771
"100051",BANDURRIA,-19.62,-70.32,0,0.175833333333333,0,0.151506711983793
"100638",AVENTURERO,-19.62,-70.29,0,0.4075,0,0.351122190332108
"101422",BLANQUILLO,-19.64,-70.27,0,0.151388888888889,0,0.130460409173511
"101440",TRUENOI,-19.64,-70.29,0,0.495833333333333,0,0.427287762155443
"101445",EPERVA61,-19.64,-70.31,1.4725,1.90472222222222,1.26893693399776,1.64140738661057
"101792",CORPESCAI,-19.63,-70.27,0,0.133333333333333,0,0.114893756342503
"102010",EPERVA51,-19.62,-70.27,0,0.1483333,0,0.1278113
"103326",BANDURRIA,-19.63,-70.26,0,0.1333333,0,0.1148938
"103444",PUCARA,-19.64,-70.27,0,0.08583333,0,0.07396746
"103643",MARLIN,-19.62,-70.28,0,0.3063889,0,0.2639998
"103644",LOA1,-19.65,-70.26,0,0.4166667,0,0.3590877
"104878",ICALMA,-19.64,-70.27,0,0.1347222,0,0.1160978
"105639",EPERVA65,-19.65,-70.31,0,0.1363889,0,0.1175414
"106542",PARINAI,-19.66,-70.27,0,0.2313889,0,0.1994258
"107973",AUDAZ,-19.6,-70.3,0,0.08333333,0,0.0717952
"109028",EPERVA64,-19.66,-70.27,0,0.2675,0,0.2305487
"109625",HURACAN,-19.66,-70.25,0.5080556,0.87,0.4378749,0.7498219
"110269",CORPESCA2,-19.63,-70.3,0,0.1286111,0,0.1108246
"110861",MERO,-19.62,-70.32,0,0.08444444,0,0.07276152
"112174",CORPESCAI,-19.66,-70.3,0,0.2402778,0,0.2070868
"112283",EPERVA51,-19.66,-70.27,0,0.2286111,0,0.1970317
"112544",CORPESCA2,-19.6,-70.29,0,0.3636111,0,0.3132664
"112977",ANGAMOS4,-19.63,-70.3,0,0.1852778,0,0.1596544
"113380",MERO,-19.64,-70.27,0,0.1952778,0,0.168282
"113778",LOA7,-19.61,-70.28,0,0.4,0,0.3446384
"114001",HALCON,-19.64,-70.26,0,0.2772222,0,0.2388981
"114138",PUCARA,-19.64,-70.28,0.1397222,0.2658333,0.1204066,0.2290837
"114228",MARLIN,-19.61,-70.28,0,0.4388889,0,0.3781449
"114298",INTREPIDO,-19.61,-70.31,0,0.3233333,0,0.2785827
"115092",EPERVA66,-19.64,-70.27,0,0.7819444,0,0.673846
"116089",ATACAMAIV,-19.63,-70.29,0.1333333,0.9333333,0.1148938,0.8042563
"116168",ICALMA,-19.62,-70.29,0,0.7991667,0,0.6886016
"116689",LICANTEN,-19.62,-70.32,0,0.2833333,0,0.244134
"118434",ANGAMOS2,-19.66,-70.26,0,0.2413889,0,0.2080445
"118868",HALCON,-19.65,-70.3,0.2502778,0.5216667,0.215692,0.4495778
"119483",CLAUDIAALEJANDRA,-19.64,-70.27,0,0.4,0,0.3447027
"119486",CLAUDIAALEJANDRA,-19.6,-70.31,0,0.5333333,0,0.4594893
"119664",EPERVA65,-19.64,-70.26,0,0.2611111,0,0.2250143
"119826",PARINAI,-19.63,-70.3,0,0.4019444,0,0.3463568
"120307",MERO,-19.62,-70.31,0,0.09444444,0,0.08137801
"120564",ANGAMOS1,-19.66,-70.28,0,0.08888889,0,0.07661016
"121132",PARINAI,-19.64,-70.28,0,0.3397222,0,0.2927579
"121820",ANGAMOS2,-19.6,-70.27,0,0.05,0,0.04307712
"121821",ANGAMOS2,-19.65,-70.26,0,0.1541667,0,0.1328625
"122004",DONERNESTOAYALAMARFIL,-19.65,-70.27,0,0.01972222,0,0.01699682
"122378",AVENTURERO,-19.66,-70.29,0,0.4205556,0,0.3624618
"123149",DONERNESTOAYALAMARFIL,-19.63,-70.3,0,0.2963889,0,0.2553992
"123754",BLANQUILLO,-19.65,-70.28,0,0.1738889,0,0.1498593
"123883",COSTAGRANDE1,-19.62,-70.29,0,0.5333333,0,0.4595464
"123898",COSTAGRANDE1,-19.6,-70.31,0,0.2833333,0,0.2441037
"124909",BLANQUILLO,-19.65,-70.29,0,0.3122222,0,0.2690764
"125125",RELAMPAGO,-19.64,-70.3,0,0.3991667,0,0.3439846
"125211",EPERVA66,-19.65,-70.24,0,0.2483333,0,0.2140163
"125214",EPERVA66,-19.63,-70.3,0,0.3833333,0,0.3303195
"126005",MARLIN,-19.61,-70.29,0,0.2225,0,0.1917051
"126328",DONGINO,-19.6,-70.28,0,0.06666667,0,0.05743616
"126364",DONGINO,-19.61,-70.3,0,0.08,0,0.06892768
"127043",ATACAMAV,-19.62,-70.26,0,0.1333333,0,0.1148866
"127198",SANJORGEI,-19.66,-70.28,0,0.04388889,0,0.03782626
"127201",SANJORGEI,-19.62,-70.31,0,0.04555556,0,0.03925292
"127399",TRUENOI,-19.6,-70.29,0,0.1333333,0,0.1148723
"128517",INTREPIDO,-19.66,-70.28,0,0.25,0,0.2154661
"129320",EPERVA66,-19.61,-70.27,0,0.1252778,0,0.1079388
"129346",PUCARA,-19.63,-70.29,0,0.1208333,0,0.1041225
"129720",ANGAMOS3,-19.65,-70.29,1.061667,1.466667,0.9149555,1.263989
"130257",AUDAZ,-19.63,-70.31,0,0.1166667,0,0.100532
"131068",AVENTURERO,-19.6,-70.31,0,0.2755556,0,0.2374028
"132641",SALMON,-19.61,-70.32,0,0.3566667,0,0.3073026
"133526",LOA1,-19.62,-70.28,0,1.066667,0,0.9190928
"133603",EPERVA65,-19.64,-70.3,0,0.3327778,0,0.2867735
"133739",PARINAI,-19.64,-70.31,0,0.1211111,0,0.1043683
"133848",EPERVA62,-19.64,-70.27,0,0.21,0,0.1809689
"133979",ALBIMER,-19.65,-70.3,0,0.4,0,0.3447242
"134138",LOA1,-19.63,-70.3,0,0.5333333,0,0.459575
"134363",EPERVA49,-19.62,-70.31,0,0.2666667,0,0.2297732
"135188",ANGAMOS2,-19.6,-70.29,0,0.2569444,0,0.2213685
"136252",ALERCE,-19.62,-70.3,0,0.2666667,0,0.2297732
"136486",INTREPIDO,-19.64,-70.27,0,0.1427778,0,0.1230397
"136560",EPERVA51,-19.64,-70.29,0,0.3977778,0,0.3427877
"136836",ANGAMOS3,-19.64,-70.27,0,0.1119444,0,0.09646889
"136837",ANGAMOS3,-19.66,-70.3,0,0.2894444,0,0.2494618
"137703",HALCON,-19.65,-70.28,0,0.5066667,0,0.4366507
"137860",ANGAMOS1,-19.66,-70.26,0,0.5102778,0,0.4397902
"137861",ANGAMOS1,-19.66,-70.27,0,0.1261111,0,0.1086907
"137994",CAMINA,-19.66,-70.26,0,0.1305556,0,0.1125212
"138311",ATACAMAIV,-19.66,-70.27,0,0.2666667,0,0.2298305
"138938",LICANTEN,-19.66,-70.3,0,0.1333333,0,0.1149152
"139098",EPERVA62,-19.61,-70.29,0,0.7122222,0,0.6136478
"140323",AUDAZ,-19.66,-70.29,0,0.8327778,0,0.7177414
"140408",PUCARA,-19.64,-70.31,0,0.4655556,0,0.4011957
"140797",EPERVA66,-19.6,-70.28,0,0.4236111,0,0.3649589
"141095",CLAUDIAALEJANDRA,-19.63,-70.26,0,0.2666667,0,0.2297875
"141214",ANGAMOS2,-19.62,-70.31,0,0.7002778,0,0.603394
"141824",CLAUDIAALEJANDRA,-19.66,-70.26,0.1333333,0.5333333,0.1149152,0.4596609
"141853",CLAUDIAALEJANDRA,-19.61,-70.29,0,0.4,0,0.3446384
"142010",EPERVA65,-19.66,-70.25,0,0.1333333,0,0.1149152
"142034",EPERVA65,-19.61,-70.28,0,0.2572222,0,0.2216216
"142247",BARRACUDAIV,-19.65,-70.28,0,0.1108333,0,0.09551733
